Drug_Name,Affinity_kcal_mol
Glutethimide,-7.2
Quinupristin,-7.2
Fingolimod,-7.2
Pyrimethamine,-7.2
Ethacrynic acid,-7.2
Enoximone,-7.2
Nilvadipine,-7.2
Adenosine monophosphate,-7.2
Dyclonine,-7.2
Sulfamerazine,-7.2
Penbutolol,-7.1
Lisdexamfetamine,-7.1
Dexmethylphenidate,-7.1
Dicyclomine,-7.1
Cyclopentolate,-7.1
Didanosine,-7.1
Dexrazoxane,-7.1
Diphenhydramine,-7.1
Ropinirole,-7.1
Dorzolamide,-7.1
Hydrochlorothiazide,-7.1
Felbamate,-7.1
Pheniramine,-7.1
Phenazopyridine,-7.1
Chloroquine,-7.1
Brinzolamide,-7.1
Betaxolol,-7.1
Doxylamine,-7.1
Adenosine,-7.1
Guanfacine,-7.1
Gemfibrozil,-7.1
Isocarboxazid,-7.1
Methadyl Acetate,-7.1
Nitrofurantoin,-7.1
Benzphetamine,-7.1
Bromodiphenhydramine,-7.0
Tymazoline,-7.0
Mephenytoin,-7.0
Chlophedianol,-7.0
Marimastat,-7.0
Tamsulosin,-7.0
Tenofovir,-7.0
Desvenlafaxine,-7.0
Brimonidine,-7.0
Chloramphenicol,-7.0
Chloropyramine,-7.0
Moclobemide,-7.0
Milnacipran,-7.0
Sulfamethizole,-7.0
Sulfapyridine,-7.0
Felodipine,-7.0
Hydralazine,-7.0
Procarbazine,-7.0
Sulfamethoxazole,-7.0
Dirithromycin,-7.0
Riluzole,-7.0
Remoxipride,-7.0
Nalidixic Acid,-7.0
Proguanil,-7.0
Deferoxamine,-7.0
Dapsone,-7.0
Chlorothiazide,-7.0
Tetrahydrobiopterin,-7.0
Phenobarbital,-7.0
Carbinoxamine,-7.0
Zileuton,-7.0
Albendazole,-7.0
Dexfenfluramine,-6.9
Cladribine,-6.9
Pentoxifylline,-6.9
Phenoxybenzamine,-6.9
Pentostatin,-6.9
Hexylcaine,-6.9
Sotalol,-6.9
Propoxyphene,-6.9
Sulfadiazine,-6.9
Ethoxzolamide,-6.9
Glycodiazine,-6.9
Ibudilast,-6.9
Ibuprofen,-6.9
Oseltamivir,-6.9
Nitroxoline,-6.9
Metyrapone,-6.9
Oxitriptan,-6.9
Tridihexethyl,-6.9
Tazobactam,-6.9
Oxybutynin,-6.9
Orlistat,-6.9
L-Tryptophan,-6.9
Telbivudine,-6.9
Metoprolol,-6.8
Amlodipine,-6.8
Pindolol,-6.8
Levamisole,-6.8
Azathioprine,-6.8
Penciclovir,-6.8
Alprostadil,-6.8
Ethotoin,-6.8
Rifaximin,-6.8
Guanabenz,-6.8
Rivastigmine,-6.8
Fencamfamine,-6.8
Chlormezanone,-6.8
Chlorpropamide,-6.8
Atenolol,-6.8
Bupropion,-6.8
Amobarbital,-6.8
Tripelennamine,-6.8
Icosapent,-6.8
Hydroxychloroquine,-6.8
Fospropofol,-6.8
Gemcitabine,-6.8
Iophendylate,-6.8
Practolol,-6.8
Stavudine,-6.8
Diatrizoate,-6.8
Esmolol,-6.8
Imipenem,-6.8
Nelarabine,-6.7
Alverine,-6.7
Guanadrel Sulfate,-6.7
Ribavirin,-6.7
Lacosamide,-6.7
Phenmetrazine,-6.7
Bisoprolol,-6.7
Vidarabine,-6.7
Milrinone,-6.7
Bupranolol,-6.7
Tolbutamide,-6.7
Tiludronate,-6.7
Phenacemide,-6.7
Tocainide,-6.7
Primidone,-6.7
Emtricitabine,-6.7
Risedronate,-6.7
Iobenguane,-6.7
Diazoxide,-6.7
Valaciclovir,-6.7
Sulfathiazole,-6.7
gamma-Homolinolenic acid,-6.6
Vorinostat,-6.6
Alpha-Linolenic Acid,-6.6
Ibutilide,-6.6
Floxuridine,-6.6
Lidocaine,-6.6
Thiamine,-6.6
Amrinone,-6.6
Valganciclovir,-6.6
Meperidine,-6.6
Chlorambucil,-6.6
Phosphatidylserine,-6.6
Cytarabine,-6.6
Bethanidine,-6.6
Amiloride,-6.6
Furazolidone,-6.6
Prilocaine,-6.5
Stepronin,-6.5
Idoxuridine,-6.5
Sibutramine,-6.5
Dichlorphenamide,-6.5
Proparacaine,-6.5
Zalcitabine,-6.5
